Equipo,Liga,Puntos,GolesAFavor,GolesEnContra,Victorias,Empates,Derrotas,PartidosJugados,DifGoles,PromPuntosPorPartido,PorcVictorias,RatioOfensivoDefensivo,EficienciaGlobal
West Ham United,Premier League,24,32,49,6,6,14,26,-17,0.9230769230769231,23.076923076923077,0.6530612244897959,-0.6538461538461539
Elche,LALIGA,25,31,35,5,10,9,24,-4,1.0416666666666667,20.833333333333336,0.8857142857142857,-0.16666666666666666
Lecce,Serie A,21,15,31,5,6,13,24,-16,0.875,20.833333333333336,0.4838709677419355,-0.6666666666666666
Cremonese,Serie A,24,21,33,5,9,11,25,-12,0.96,20.0,0.6363636363636364,-0.48
Genoa,Serie A,24,29,37,5,9,11,25,-8,0.96,20.0,0.7837837837837838,-0.32
Levante,LALIGA,18,26,40,4,6,13,23,-14,0.782608695652174,17.391304347826086,0.65,-0.6086956521739131
Fiorentina,Serie A,21,29,39,4,9,12,25,-10,0.84,16.0,0.7435897435897436,-0.4
Burnley,Premier League,18,28,51,4,6,16,26,-23,0.6923076923076923,15.384615384615385,0.5490196078431373,-0.8846153846153846
Real Oviedo,LALIGA,16,13,36,3,7,13,23,-23,0.6956521739130435,13.043478260869565,0.3611111111111111,-1.0
Hellas Verona,Serie A,15,19,43,2,9,14,25,-24,0.6,8.0,0.4418604651162791,-0.96
Pisa,Serie A,15,20,42,1,12,12,25,-22,0.6,4.0,0.47619047619047616,-0.88
Wolverhampton Wanderers,Premier League,9,16,48,1,6,19,26,-32,0.34615384615384615,3.8461538461538463,0.3333333333333333,-1.2307692307692308
